,Overcup oak / water hickory,"581,502",,,,,,"364,037",,,,,"70,711",,,,,,"146,754",,,,,,-,,,,,,,,
,Atlantic white-cedar,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Baldcypress / water tupelo,"557,337",,,,,,"395,398",,,,,"11,213",,,,,,"150,727",,,,,,-,,,,,,,,
,Sweetbay / swamp tupelo / red maple,"3,929,027",,,,,,"467,592",,,,,"397,592",,,,,,"3,063,843",,,,,,-,,,,,,,,
,Baldcypress / pondcypress,"123,638",,,,,,"75,491",,,,,"17,625",,,,,,"30,523",,,,,,-,,,,,,,,
,Black ash / American elm / red maple,"431,297",,,,,,"41,252",,,,,"139,181",,,,,,"250,865",,,,,,-,,,,,,,,
,River birch / sycamore,"649,642",,,,,,"177,904",,,,,"19,494",,,,,,"452,243",,,,,,-,,,,,,,,
,Cottonwood,"379,133",,,,,,"175,117",,,,,"28,111",,,,,,"175,904",,,,,,-,,,,,,,,
,Willow,"807,836",,,,,,"8,484",,,,,-,,,,,,"799,352",,,,,,-,,,,,,,,
,Sycamore / pecan / American elm,"1,352,511",,,,,,"572,344",,,,,"264,042",,,,,,"516,126",,,,,,-,,,,,,,,
,Sugarberry / hackberry / elm / green ash,"3,260,619",,,,,,"1,066,593",,,,,"424,762",,,,,,"1,769,263",,,,,,-,,,,,,,,
,Silver maple / American elm,"230,141",,,,,,"182,307",,,,,"19,101",,,,,,"28,732",,,,,,-,,,,,,,,
,Red maple / lowland,"725,278",,,,,,"94,784",,,,,"249,013",,,,,,"381,481",,,,,,-,,,,,,,,
,Cottonwood / willow,"12,338",,,,,,"2,420",,,,,"9,918",,,,,,-,,,,,,-,,,,,,,,
,Oregon ash,110171.00 ,,,,,,-,,,,,-,,,,,,"110,171",,,,,,-,,,,,,,,
,Sugar maple / beech / yellow birch,"19,782,099",,,,,,"9,468,796",,,,,"4,707,067",,,,,,"5,606,236",,,,,,-,,,,,,,,
,Black cherry,"421,075",,,,,,"170,155",,,,,"47,237",,,,,,"203,683",,,,,,-,,,,,,,,
,Hard maple / basswood,"4,726,574",,,,,,"3,148,661",,,,,"890,218",,,,,,"687,694",,,,,,-,,,,,,,,
,Red maple / upland,"2,632,006",,,,,,"1,286,539",,,,,"827,865",,,,,,"517,603",,,,,,-,,,,,,,,
,Aspen,"5,911,515",,,,,,"247,073",,,,,"312,214",,,,,,"5,352,228",,,,,,-,,,,,,,,
,Paper birch,"597,383",,,,,,"57,804",,,,,"231,765",,,,,,"307,814",,,,,,-,,,,,,,,
,Gray birch,"92,748",,,,,,-,,,,,"3,448",,,,,,"89,301",,,,,,-,,,,,,,,
,Balsam poplar,"441,678",,,,,,"14,742",,,,,"1,277",,,,,,"425,659",,,,,,-,,,,,,,,
,Pin cherry,"440,622",,,,,,-,,,,,-,,,,,,"440,622",,,,,,-,,,,,,,,
,Red alder,"2,696,069",,,,,,"429,856",,,,,"96,198",,,,,,"2,170,015",,,,,,-,,,,,,,,
,Bigleaf maple,"481,455",,,,,,"107,355",,,,,"7,485",,,,,,"366,616",,,,,,-,,,,,,,,
,Gray pine,"12,396",,,,,,"12,396",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,California black oak,"171,475",,,,,,"13,046",,,,,"38,901",,,,,,"119,529",,,,,,-,,,,,,,,
,Oregon white oak,"209,197",,,,,,"56,711",,,,,"11,093",,,,,,"141,393",,,,,,-,,,,,,,,
,Blue oak,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Coast live oak,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Canyon live oak,"137,297",,,,,,"89,228",,,,,"3,832",,,,,,"44,238",,,,,,-,,,,,,,,
,Interior live oak,"11,159",,,,,,-,,,,,"11,159",,,,,,-,,,,,,-,,,,,,,,
,California white oak (valley oak),-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Tanoak,"755,381",,,,,,"110,753",,,,,-,,,,,,"644,629",,,,,,-,,,,,,,,
,California laurel,"71,122",,,,,,"4,366",,,,,-,,,,,,"66,756",,,,,,-,,,,,,,,
,Giant chinkapin,"79,682",,,,,,333,,,,,-,,,,,,"79,350",,,,,,-,,,,,,,,
,Pacific madrone,"70,238",,,,,,"47,402",,,,,"21,969",,,,,,866,,,,,,-,,,,,,,,
,Other hardwoods,"1,664,775",,,,,,"402,091",,,,,"10,423",,,,,,"1,252,261",,,,,,-,,,,,,,,
,Miscellaneous woodland hardwoods,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Palms,"4,378",,,,,,"3,157",,,,,"1,222",,,,,,-,,,,,,-,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moist forest,"88,718",,,,,,"39,167",,,,,"33,667",,,,,,"15,885",,,,,,-,,,,,,,,
,Wet and rain forest,"26,059",,,,,,"9,269",,,,,"3,155",,,,,,"13,634",,,,,,-,,,,,,,,
,Lower montane wet and rain forest,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Other tropical hardwoods,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Paulownia,"66,282",,,,,,"66,282",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Melaleuca,-,,,,,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Eucalyptus,"24,078",,,,,,-,,,,,-,,,,,,"24,078",,,,,,-,,,,,,,,
,Other exotic hardwoods,"1,095,616",,,,,,"70,513",,,,,"60,530",,,,,,"964,573",,,,,,-,,,,,,,,
,Nonstocked,"18,294,485",,,,,,-,,,,,-,,,,,,-,,,,,,"18,294,485",,,,,,,,
"Sum of all pages
Denominator estimate:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,,,,,,Large diameter,,,,,Medium diameter,,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,
,Total,"426,640,823",,,,,,"262,120,446",,,,,"95,307,129",,,,,,"63,579,683",,,,,,"5,633,566",,,,,,,,
,Jack pine,"1,042,018",,,,,,"269,341",,,,,"428,694",,,,,,"343,983",,,,,,-,,,,,,,,
,Red pine,"2,435,012",,,,,,"1,707,532",,,,,"593,464",,,,,,"134,016",,,,,,-,,,,,,,,
,Eastern white pine,"3,778,103",,,,,,"3,185,182",,,,,"380,501",,,,,,"212,420",,,,,,-,,,,,,,,
,Eastern white pine / eastern hemlock,"571,424",,,,,,"551,440",,,,,"7,463",,,,,,"12,521",,,,,,-,,,,,,,,
,Eastern hemlock,"1,419,408",,,,,,"1,307,040",,,,,"109,209",,,,,,"3,159",,,,,,-,,,,,,,,
,Balsam fir,"3,696,228",,,,,,"578,754",,,,,"1,647,713",,,,,,"1,469,761",,,,,,-,,,,,,,,
,White spruce,"827,081",,,,,,"369,712",,,,,"310,521",,,,,,"146,848",,,,,,-,,,,,,,,
,Red spruce,"1,064,399",,,,,,"551,616",,,,,"310,028",,,,,,"202,755",,,,,,-,,,,,,,,
,Red spruce / balsam fir,"1,284,778",,,,,,"293,125",,,,,"463,357",,,,,,"528,297",,,,,,-,,,,,,,,
,Black spruce,"2,493,547",,,,,,"98,011",,,,,"911,632",,,,,,"1,483,904",,,,,,-,,,,,,,,
,Tamarack,"1,821,573",,,,,,"208,858",,,,,"639,275",,,,,,"973,440",,,,,,-,,,,,,,,
,Northern white-cedar,"3,120,793",,,,,,"1,694,556",,,,,"1,185,882",,,,,,"240,356",,,,,,-,,,,,,,,
,Longleaf pine,"3,487,420",,,,,,"1,677,226",,,,,"1,001,791",,,,,,"808,404",,,,,,-,,,,,,,,
,Slash pine,"8,736,588",,,,,,"4,401,353",,,,,"2,904,554",,,,,,"1,430,681",,,,,,-,,,,,,,,
,Loblolly pine,"54,533,663",,,,,,"30,288,609",,,,,"15,446,344",,,,,,"8,798,710",,,,,,-,,,,,,,,
,Shortleaf pine,"2,903,290",,,,,,"2,419,783",,,,,"337,081",,,,,,"146,426",,,,,,-,,,,,,,,
,Virginia pine,"1,829,102",,,,,,"997,505",,,,,"559,573",,,,,,"272,023",,,,,,-,,,,,,,,
,Sand pine,"527,855",,,,,,"99,077",,,,,"277,994",,,,,,"150,784",,,,,,-,,,,,,,,
,Table Mountain pine,"50,765",,,,,,"24,484",,,,,"19,863",,,,,,"6,417",,,,,,-,,,,,,,,
,Pond pine,"460,612",,,,,,"307,820",,,,,"111,452",,,,,,"41,340",,,,,,-,,,,,,,,
,Pitch pine,"654,826",,,,,,"444,787",,,,,"190,804",,,,,,"19,234",,,,,,-,,,,,,,,
,Spruce pine,"67,080",,,,,,"54,800",,,,,"6,204",,,,,,"6,076",,,,,,-,,,,,,,,
,Eastern redcedar,"1,914,101",,,,,,"581,054",,,,,"784,572",,,,,,"548,475",,,,,,-,,,,,,,,
,Rocky Mountain juniper,"72,400",,,,,,"55,830",,,,,"10,327",,,,,,"6,243",,,,,,-,,,,,,,,
,Juniper woodland,"16,190",,,,,,"11,122",,,,,"5,067",,,,,,-,,,,,,-,,,,,,,,
,Pinyon / juniper woodland,"12,264",,,,,,"12,264",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Douglas-fir,"18,917,794",,,,,,"14,691,671",,,,,"1,905,811",,,,,,"2,320,312",,,,,,-,,,,,,,,
,Port-Orford-cedar,"22,085",,,,,,"14,884",,,,,"2,694",,,,,,"4,507",,,,,,-,,,,,,,,
,Ponderosa pine,"9,050,475",,,,,,"7,780,933",,,,,"508,187",,,,,,"761,355",,,,,,-,,,,,,,,
,Incense-cedar,"60,646",,,,,,"57,728",,,,,-,,,,,,"2,918",,,,,,-,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sugar pine,"67,588",,,,,,"66,159",,,,,376,,,,,,"1,053",,,,,,-,,,,,,,,
,Jeffrey pine,"717,302",,,,,,"631,642",,,,,"61,166",,,,,,"24,493",,,,,,-,,,,,,,,
,Western white pine,"55,191",,,,,,"38,102",,,,,"1,088",,,,,,"16,002",,,,,,-,,,,,,,,
,White fir,"1,762,250",,,,,,"1,596,295",,,,,"57,052",,,,,,"108,903",,,,,,-,,,,,,,,
,Red fir,"499,344",,,,,,"479,706",,,,,"1,238",,,,,,"18,400",,,,,,-,,,,,,,,
,Noble fir,"223,608",,,,,,"158,250",,,,,"23,515",,,,,,"41,842",,,,,,-,,,,,,,,
,Pacific silver fir,"792,782",,,,,,"616,078",,,,,"96,408",,,,,,"80,296",,,,,,-,,,,,,,,
,Engelmann spruce,"202,798",,,,,,"144,244",,,,,"15,206",,,,,,"43,348",,,,,,-,,,,,,,,
,Engelmann spruce / subalpine fir,"328,097",,,,,,"282,399",,,,,"26,799",,,,,,"18,899",,,,,,-,,,,,,,,
,Grand fir,"1,324,415",,,,,,"1,047,128",,,,,"42,455",,,,,,"234,833",,,,,,-,,,,,,,,
,Subalpine fir,"210,696",,,,,,"131,967",,,,,"8,790",,,,,,"69,939",,,,,,-,,,,,,,,
,Blue spruce,"15,605",,,,,,-,,,,,"13,393",,,,,,"2,212",,,,,,-,,,,,,,,
,Mountain hemlock,"672,552",,,,,,"646,678",,,,,"16,175",,,,,,"9,699",,,,,,-,,,,,,,,
,Alaska-yellow-cedar,"380,153",,,,,,"348,643",,,,,"11,491",,,,,,"20,019",,,,,,-,,,,,,,,
,Lodgepole pine,"2,384,382",,,,,,"881,211",,,,,"616,921",,,,,,"886,250",,,,,,-,,,,,,,,
,Western hemlock,"4,669,953",,,,,,"3,812,977",,,,,"275,718",,,,,,"581,258",,,,,,-,,,,,,,,
,Western redcedar,"1,115,070",,,,,,"965,278",,,,,"51,466",,,,,,"98,326",,,,,,-,,,,,,,,
,Sitka spruce,"1,756,505",,,,,,"1,225,169",,,,,"229,870",,,,,,"301,467",,,,,,-,,,,,,,,
,Western larch,"506,495",,,,,,"339,557",,,,,"48,764",,,,,,"118,174",,,,,,-,,,,,,,,
,Redwood,"703,370",,,,,,"652,666",,,,,"23,706",,,,,,"26,998",,,,,,-,,,,,,,,
,Giant sequoia,"4,077",,,,,,"4,077",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Knobcone pine,"32,481",,,,,,-,,,,,"10,627",,,,,,"21,854",,,,,,-,,,,,,,,
,Bishop pine,"5,835",,,,,,"5,835",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Monterey pine,"7,627",,,,,,"7,627",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Whitebark pine,"14,793",,,,,,"10,358",,,,,-,,,,,,"4,435",,,,,,-,,,,,,,,
,Miscellaneous western softwoods,"6,413",,,,,,"1,823",,,,,226,,,,,,"4,364",,,,,,-,,,,,,,,
,Western juniper,"416,394",,,,,,"374,201",,,,,"4,313",,,,,,"37,880",,,,,,-,,,,,,,,
,California mixed conifer,"6,348,551",,,,,,"5,935,200",,,,,"121,876",,,,,,"291,476",,,,,,-,,,,,,,,
,Scotch pine,"330,685",,,,,,"164,899",,,,,"103,083",,,,,,"62,702",,,,,,-,,,,,,,,
,Other exotic softwoods,"22,139",,,,,,"19,700",,,,,404,,,,,,"2,035",,,,,,-,,,,,,,,
,Norway spruce,"177,086",,,,,,"127,667",,,,,"38,259",,,,,,"11,161",,,,,,-,,,,,,,,
,Introduced larch,"56,308",,,,,,"20,423",,,,,"21,813",,,,,,"14,072",,,,,,-,,,,,,,,
,Eastern white pine / northern red oak / white ash,"3,224,989",,,,,,"2,569,632",,,,,"517,135",,,,,,"138,222",,,,,,-,,,,,,,,
,Eastern redcedar / hardwood,"2,551,026",,,,,,"1,108,090",,,,,"1,018,448",,,,,,"424,489",,,,,,-,,,,,,,,
,Longleaf pine / oak,"819,140",,,,,,"310,629",,,,,"185,545",,,,,,"322,967",,,,,,-,,,,,,,,
,Shortleaf pine / oak,"2,629,969",,,,,,"1,855,719",,,,,"628,964",,,,,,"145,286",,,,,,-,,,,,,,,
,Virginia pine / southern red oak,"1,697,537",,,,,,"1,090,451",,,,,"420,664",,,,,,"186,423",,,,,,-,,,,,,,,
,Loblolly pine / hardwood,"11,497,572",,,,,,"6,026,013",,,,,"2,298,259",,,,,,"3,173,299",,,,,,-,,,,,,,,
,Slash pine / hardwood,"1,327,497",,,,,,"631,484",,,,,"317,748",,,,,,"378,264",,,,,,-,,,,,,,,
,Other pine / hardwood,"1,696,259",,,,,,"854,434",,,,,"451,309",,,,,,"390,517",,,,,,-,,,,,,,,
,Post oak / blackjack oak,"5,839,114",,,,,,"3,320,477",,,,,"2,030,590",,,,,,"488,047",,,,,,-,,,,,,,,
,Chestnut oak,"4,936,408",,,,,,"4,240,716",,,,,"646,617",,,,,,"49,074",,,,,,-,,,,,,,,
,White oak / red oak / hickory,"43,004,258",,,,,,"33,468,428",,,,,"7,478,505",,,,,,"2,057,325",,,,,,-,,,,,,,,
,White oak,"7,623,671",,,,,,"6,674,265",,,,,"807,048",,,,,,"142,358",,,,,,-,,,,,,,,
,Northern red oak,"4,773,142",,,,,,"4,308,369",,,,,"393,563",,,,,,"71,211",,,,,,-,,,,,,,,
,Yellow-poplar / white oak / northern red oak,"7,547,417",,,,,,"5,905,911",,,,,"1,075,794",,,,,,"565,712",,,,,,-,,,,,,,,
,Sassafras / persimmon,"1,504,474",,,,,,"366,920",,,,,"220,080",,,,,,"917,474",,,,,,-,,,,,,,,
,Sweetgum / yellow-poplar,"7,124,711",,,,,,"3,444,343",,,,,"1,550,102",,,,,,"2,130,265",,,,,,-,,,,,,,,
,Bur oak,"1,083,700",,,,,,"852,662",,,,,"202,458",,,,,,"28,579",,,,,,-,,,,,,,,
,Scarlet oak,"870,409",,,,,,"626,031",,,,,"225,908",,,,,,"18,471",,,,,,-,,,,,,,,
,Yellow-poplar,"3,415,925",,,,,,"2,164,229",,,,,"746,472",,,,,,"505,224",,,,,,-,,,,,,,,
,Black walnut,"1,021,692",,,,,,"636,912",,,,,"304,900",,,,,,"79,880",,,,,,-,,,,,,,,
,Black locust,"705,778",,,,,,"210,598",,,,,"250,000",,,,,,"245,180",,,,,,-,,,,,,,,
,Southern scrub oak,"762,926",,,,,,"157,212",,,,,"143,880",,,,,,"461,834",,,,,,-,,,,,,,,
,Chestnut oak / black oak / scarlet oak,"7,837,077",,,,,,"6,361,569",,,,,"1,222,737",,,,,,"252,771",,,,,,-,,,,,,,,
,Cherry / white ash / yellow-poplar,"5,131,335",,,,,,"2,418,830",,,,,"1,478,920",,,,,,"1,233,585",,,,,,-,,,,,,,,
,Elm / ash / black locust,"4,977,772",,,,,,"1,939,283",,,,,"1,568,954",,,,,,"1,469,535",,,,,,-,,,,,,,,
,Red maple / oak,"3,293,202",,,,,,"1,822,840",,,,,"963,842",,,,,,"506,520",,,,,,-,,,,,,,,
,Mixed upland hardwoods,"19,005,260",,,,,,"10,099,849",,,,,"4,549,444",,,,,,"4,355,967",,,,,,-,,,,,,,,
,Swamp chestnut oak / cherrybark oak,"1,442,393",,,,,,"1,171,575",,,,,"172,069",,,,,,"98,748",,,,,,-,,,,,,,,
,Sweetgum / Nuttall oak / willow oak,"9,269,181",,,,,,"6,081,819",,,,,"2,046,145",,,,,,"1,141,217",,,,,,-,,,,,,,,
,Overcup oak / water hickory,"1,293,142",,,,,,"1,020,960",,,,,"190,845",,,,,,"81,337",,,,,,-,,,,,,,,
,Atlantic white-cedar,"54,321",,,,,,"44,259",,,,,"6,669",,,,,,"3,393",,,,,,-,,,,,,,,
,Baldcypress / water tupelo,"2,501,659",,,,,,"2,167,742",,,,,"250,498",,,,,,"83,419",,,,,,-,,,,,,,,
,Sweetbay / swamp tupelo / red maple,"7,012,152",,,,,,"3,458,064",,,,,"1,875,646",,,,,,"1,678,442",,,,,,-,,,,,,,,
,Baldcypress / pondcypress,"839,130",,,,,,"556,258",,,,,"161,805",,,,,,"121,067",,,,,,-,,,,,,,,
,Black ash / American elm / red maple,"2,818,927",,,,,,"932,038",,,,,"1,385,819",,,,,,"501,071",,,,,,-,,,,,,,,
,River birch / sycamore,"1,899,179",,,,,,"1,361,409",,,,,"356,286",,,,,,"181,484",,,,,,-,,,,,,,,
,Cottonwood,"1,367,448",,,,,,"1,195,993",,,,,"113,961",,,,,,"57,495",,,,,,-,,,,,,,,
,Willow,"806,584",,,,,,"276,672",,,,,"242,938",,,,,,"286,974",,,,,,-,,,,,,,,
,Sycamore / pecan / American elm,"2,733,820",,,,,,"1,915,766",,,,,"526,278",,,,,,"291,775",,,,,,-,,,,,,,,
,Sugarberry / hackberry / elm / green ash,"7,350,681",,,,,,"4,426,172",,,,,"1,759,687",,,,,,"1,164,822",,,,,,-,,,,,,,,
,Silver maple / American elm,"1,326,906",,,,,,"1,031,542",,,,,"226,608",,,,,,"68,757",,,,,,-,,,,,,,,
,Red maple / lowland,"2,106,870",,,,,,"996,649",,,,,"703,010",,,,,,"407,211",,,,,,-,,,,,,,,
,Cottonwood / willow,"429,083",,,,,,"333,510",,,,,"63,710",,,,,,"31,863",,,,,,-,,,,,,,,
,Oregon ash,"77,866",,,,,,"49,275",,,,,"8,091",,,,,,"20,501",,,,,,-,,,,,,,,
,Sugar maple / beech / yellow birch,"29,055,988",,,,,,"19,128,052",,,,,"7,536,242",,,,,,"2,391,694",,,,,,-,,,,,,,,
,Black cherry,"1,256,802",,,,,,"624,218",,,,,"373,273",,,,,,"259,310",,,,,,-,,,,,,,,
,Hard maple / basswood,"8,242,152",,,,,,"5,973,127",,,,,"1,739,181",,,,,,"529,845",,,,,,-,,,,,,,,
,Red maple / upland,"4,365,802",,,,,,"2,266,796",,,,,"1,571,826",,,,,,"527,179",,,,,,-,,,,,,,,
,Aspen,"11,161,529",,,,,,"1,962,768",,,,,"4,905,440",,,,,,"4,293,322",,,,,,-,,,,,,,,
,Paper birch,"2,337,010",,,,,,"593,512",,,,,"1,156,342",,,,,,"587,156",,,,,,-,,,,,,,,
,Gray birch,"296,780",,,,,,"18,299",,,,,"72,005",,,,,,"206,475",,,,,,-,,,,,,,,
,Balsam poplar,"709,082",,,,,,"66,052",,,,,"351,905",,,,,,"291,125",,,,,,-,,,,,,,,
,Pin cherry,"193,404",,,,,,-,,,,,"28,353",,,,,,"165,051",,,,,,-,,,,,,,,
,Red alder,"2,031,353",,,,,,"1,171,679",,,,,"574,511",,,,,,"285,163",,,,,,-,,,,,,,,
,Bigleaf maple,"514,311",,,,,,"358,075",,,,,"85,926",,,,,,"70,310",,,,,,-,,,,,,,,
,Gray pine,"45,354",,,,,,"45,354",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,California black oak,"815,416",,,,,,"459,355",,,,,"227,555",,,,,,"128,506",,,,,,-,,,,,,,,
,Oregon white oak,"348,909",,,,,,"157,541",,,,,"126,481",,,,,,"64,887",,,,,,-,,,,,,,,
,Blue oak,"1,631",,,,,,"1,631",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Coast live oak,"39,346",,,,,,"29,337",,,,,"10,009",,,,,,-,,,,,,-,,,,,,,,
,Canyon live oak,"827,961",,,,,,"496,672",,,,,"217,818",,,,,,"113,472",,,,,,-,,,,,,,,
,Interior live oak,"36,060",,,,,,"2,281",,,,,"14,147",,,,,,"19,633",,,,,,-,,,,,,,,
,California white oak (valley oak),"30,474",,,,,,"5,536",,,,,"24,937",,,,,,-,,,,,,-,,,,,,,,
,Tanoak,"1,300,825",,,,,,"901,981",,,,,"169,062",,,,,,"229,782",,,,,,-,,,,,,,,
,California laurel,"198,629",,,,,,"158,972",,,,,"15,495",,,,,,"24,161",,,,,,-,,,,,,,,
,Giant chinkapin,"107,744",,,,,,"45,266",,,,,"24,466",,,,,,"38,013",,,,,,-,,,,,,,,
,Pacific madrone,"415,270",,,,,,"264,007",,,,,"104,911",,,,,,"46,353",,,,,,-,,,,,,,,
,Other hardwoods,"2,586,221",,,,,,"663,211",,,,,"483,168",,,,,,"1,439,842",,,,,,-,,,,,,,,
,Miscellaneous woodland hardwoods,"1,537",,,,,,"1,537",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Palms,"336,173",,,,,,"239,725",,,,,"52,340",,,,,,"44,107",,,,,,-,,,,,,,,
,Moist forest,"402,534",,,,,,"144,277",,,,,"156,064",,,,,,"102,194",,,,,,-,,,,,,,,
,Wet and rain forest,"294,827",,,,,,"164,265",,,,,"103,251",,,,,,"27,312",,,,,,-,,,,,,,,
,Lower montane wet and rain forest,"5,990",,,,,,"5,990",,,,,-,,,,,,-,,,,,,-,,,,,,,,
,Other tropical hardwoods,"8,636",,,,,,"5,517",,,,,-,,,,,,"3,119",,,,,,-,,,,,,,,
,Paulownia,"46,098",,,,,,"38,093",,,,,"4,923",,,,,,"3,082",,,,,,-,,,,,,,,
,Melaleuca,"29,843",,,,,,-,,,,,"3,331",,,,,,"26,511",,,,,,-,,,,,,,,
,Eucalyptus,"18,873",,,,,,-,,,,,"1,526",,,,,,"17,346",,,,,,-,,,,,,,,
,Other exotic hardwoods,"1,031,027",,,,,,"169,665",,,,,"402,433",,,,,,"458,929",,,,,,-,,,,,,,,
,Nonstocked,"5,633,566",,,,,,-,,,,,-,,,,,,-,,,,,,"5,633,566",,,,,,,,
"Sum of all pages
Sampling error percent (Confidence level 68%):
Note: for 95% confidence level multiply SE pct by 1.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stand-size class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forest type,Total,,Large diameter,,,,,Medium diameter,,,,,,Small diameter,,,,,,Nonstocked,,,,,,,,,,,,
,Total,1.22,,1.73,,,,,3.02,,,,,,1.74,,,,,,5.47,,,,,,,,,,,,
,Jack pine,34.69,,53.55,,,,,58.49,,,,,,45.41,,,,,,-,,,,,,,,,,,,
,Red pine,11.42,,12.04,,,,,31.88,,,,,,78.09,,,,,,-,,,,,,,,,,,,
,Eastern white pine,13.59,,15.94,,,,,49.51,,,,,,29.53,,,,,,-,,,,,,,,,,,,
,Eastern white pine / eastern hemlock,33.60,,36.38,,,,,-,,,,,,31.22,,,,,,-,,,,,,,,,,,,
,Eastern hemlock,20.16,,21.11,,,,,66.23,,,,,,0.00,,,,,,-,,,,,,,,,,,,
,Balsam fir,14.03,,58.87,,,,,20.52,,,,,,19.18,,,,,,-,,,,,,,,,,,,
,White spruce,32.20,,37.95,,,,,56.37,,,,,,92.90,,,,,,-,,,,,,,,,,,,
,Red spruce,32.11,,71.47,,,,,51.80,,,,,,43.63,,,,,,-,,,,,,,,,,,,
,Red spruce / balsam fir,29.07,,53.89,,,,,41.15,,,,,,52.35,,,,,,-,,,,,,,,,,,,
,Black spruce,31.98,,-,,,,,89.09,,,,,,33.92,,,,,,-,,,,,,,,,,,,
,Tamarack,59.00,,98.27,,,,,100.33,,,,,,63.32,,,,,,-,,,,,,,,,,,,
,Northern white-cedar,24.33,,32.16,,,,,39.53,,,,,,68.59,,,,,,-,,,,,,,,,,,,
,Longleaf pine,11.91,,19.74,,,,,26.41,,,,,,14.36,,,,,,-,,,,,,,,,,,,
,Slash pine,6.32,,9.10,,,,,11.29,,,,,,9.62,,,,,,-,,,,,,,,,,,,
,Loblolly pine,2.15,,2.72,,,,,5.27,,,,,,2.87,,,,,,-,,,,,,,,,,,,
,Shortleaf pine,18.57,,21.98,,,,,53.92,,,,,,39.20,,,,,,-,,,,,,,,,,,,
,Virginia pine,34.88,,45.13,,,,,59.84,,,,,,49.41,,,,,,-,,,,,,,,,,,,
,Sand pine,21.84,,53.17,,,,,41.78,,,,,,24.11,,,,,,-,,,,,,,,,,,,
,Table Mountain pine,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pond pine,98.10,,99.88,,,,,104.00,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pitch pine,100.63,,101.36,,,,,102.97,,,,,,-,,,,,,-,,,,,,,,,,,,
,Spruce pine,65.77,,65.48,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Eastern redcedar,43.94,,65.74,,,,,76.16,,,,,,57.88,,,,,,-,,,,,,,,,,,,
,Rocky Mountain juniper,91.89,,-,,,,,-,,,,,,0.00,,,,,,-,,,,,,,,,,,,
,Juniper woodland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Pinyon / juniper woodland,-,,-,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Douglas-fir,6.10,,8.25,,,,,20.85,,,,,,6.12,,,,,,-,,,,,,,,,,,,
,Port-Orford-cedar,76.52,,-,,,,,-,,,,,,52.07,,,,,,-,,,,,,,,,,,,
,Ponderosa pine,9.61,,10.26,,,,,33.14,,,,,,20.17,,,,,,-,,,,,,,,,,,,
,Incense-cedar,104.59,,104.52,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Sugar pine,101.06,,101.09,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Jeffrey pine,32.47,,32.31,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Western white pine,106.06,,-,,,,,-,,,,,,109.71,,,,,,-,,,,,,,,,,,,
,White fir,23.99,,29.91,,,,,44.72,,,,,,51.81,,,,,,-,,,,,,,,,,,,
,Red fir,95.33,,95.30,,,,,-,,,,,,-,,,,,,-,,,,,,,,,,,,
,Noble fir,52.21,,52.24,,,,,-,,,,,,81.73,,,,,,-,,,,,,,,,,,,
